OBJECTID,GEOID,B00001e1,B00001m1,B00002e1,B00002m1
2197,14000US17103000700,491,-1,230,-1
2198,14000US17103000800,503,-1,217,-1
2199,14000US17103000900,1022,-1,467,-1
2200,14000US17105960100,398,-1,170,-1
2201,14000US17105960200,1038,-1,412,-1
2202,14000US17105960300,338,-1,166,-1
2203,14000US17105960400,958,-1,429,-1
2204,14000US17105960500,300,-1,147,-1
2205,14000US17105960600,404,-1,168,-1
2206,14000US17105960700,715,-1,144,-1
2207,14000US17105960800,516,-1,203,-1
2208,14000US17105960900,727,-1,287,-1
2209,14000US17105961000,520,-1,236,-1
2210,14000US17107952900,720,-1,297,-1
2211,14000US17107953000,861,-1,384,-1
2212,14000US17107953100,391,-1,142,-1
2213,14000US17107953200,387,-1,178,-1
2214,14000US17107953300,348,-1,162,-1
2215,14000US17107953400,536,-1,209,-1
2216,14000US17107953500,1738,-1,367,-1
2217,14000US17107953600,734,-1,343,-1
2218,14000US17109010100,510,-1,225,-1
2219,14000US17109010200,612,-1,315,-1
2220,14000US17109010300,302,-1,136,-1
2221,14000US17109010400,446,-1,145,-1
2222,14000US17109010500,285,-1,23,-1
2223,14000US17109010600,197,-1,103,-1
2224,14000US17109010700,318,-1,121,-1
2225,14000US17109010900,261,-1,134,-1
2226,14000US17109011000,425,-1,206,-1
2227,14000US17109011100,515,-1,251,-1
2228,14000US17111870101,952,-1,416,-1
2229,14000US17111870102,371,-1,132,-1
2230,14000US17111870200,414,-1,169,-1
2231,14000US17111870301,384,-1,144,-1
2232,14000US17111870302,298,-1,122,-1
2233,14000US17111870401,606,-1,254,-1
2234,14000US17111870402,534,-1,177,-1
2235,14000US17111870500,544,-1,210,-1
2236,14000US17111870603,608,-1,239,-1
2237,14000US17111870604,325,-1,137,-1
2238,14000US17111870605,364,-1,142,-1
2239,14000US17111870606,397,-1,166,-1
2240,14000US17111870702,437,-1,173,-1
2241,14000US17111870703,711,-1,254,-1
2242,14000US17111870704,340,-1,145,-1
2243,14000US17111870803,583,-1,233,-1
2244,14000US17111870807,485,-1,175,-1
2245,14000US17111870808,361,-1,137,-1
2246,14000US17111870809,784,-1,289,-1
2247,14000US17111870810,811,-1,301,-1
2248,14000US17111870811,603,-1,252,-1
2249,14000US17111870812,524,-1,215,-1
2250,14000US17111870902,508,-1,200,-1
2251,14000US17111870903,281,-1,118,-1
2252,14000US17111870904,440,-1,178,-1
2253,14000US17111870905,441,-1,194,-1
2254,14000US17111871003,390,-1,150,-1
2255,14000US17111871004,354,-1,132,-1
2256,14000US17111871104,628,-1,196,-1
2257,14000US17111871105,546,-1,193,-1
2258,14000US17111871106,507,-1,168,-1
2259,14000US17111871107,512,-1,167,-1
2260,14000US17111871108,495,-1,166,-1
2261,14000US17111871109,472,-1,142,-1
2262,14000US17111871201,382,-1,155,-1
2263,14000US17111871202,283,-1,114,-1
2264,14000US17111871205,386,-1,160,-1
