OBJECTID,GEOID,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,Id,Id2,Geography,"Total; Est",Households,"Total; E_1",Househol_1,"Total; E_2",Househol_2,"Total; E_3",Househol_3,Househol_4,Id_2,Id2_2,Geography_,"Total; E_4","Total; E_5","Total; E_6","Total; E_7","Total; E_8","Total; E_9","Total; E10","Total; E11","Total; E12","Total; E13","Total; E14","Total; E15","Total; E16","Total; E17","Total; E18","Total; E19","Total; E20","Total; E21","Total; E22","Total; E23","Total; E24","Total; E25","Total; E26","Total; E27","Total; E28","Total; E29",_count,_sum,_mean
1048.00000,17031810501,Census Tract 8105.01,2272695.00000,0.00000,+41.9602807,-87.8259863,1400000US17031810501,17031810501,"Census Tract 8105.01, Cook County, Illinois",2013,149,38,51,1975,157,58.1,6.1,0,1400000US17031810501,17031810501,"Census Tract 8105.01, Cook County, Illinois",5227,346,2220,245,3007,281,3.6,2.4,4.6,3.4,2.9,2.3,5.8,2.4,5.7,4.1,5.9,3.2,3.7,1.4,5.4,3,2.5,1.7,4.9,3.3,0.055297222711237,0.003567183219586,0.064509265469147
1056.00000,17031811100,Census Tract 8111,3648949.00000,0.00000,+41.9270773,-87.8344152,1400000US17031811100,17031811100,"Census Tract 8111, Cook County, Illinois",2702,144,171,88,2531,169,35.2,6.4,14,1400000US17031811100,17031811100,"Census Tract 8111, Cook County, Illinois",6065,343,2861,298,3204,285,7.6,2.8,3.9,3,10.8,4.4,3.4,1.4,3.2,2.4,3.7,2.1,2.9,1.3,3.5,2.1,2.4,1.5,6.5,2,0.000060280087062,0.000006516635638,0.108105942702358
1057.00000,17031811200,Census Tract 8112,3427337.00000,0.00000,+41.9222260,-87.8453739,1400000US17031811200,17031811200,"Census Tract 8112, Cook County, Illinois",1785,108,93,65,1692,120,34.1,4.8,41.9,1400000US17031811200,17031811200,"Census Tract 8112, Cook County, Illinois",5635,332,2638,260,2997,238,6,2,3.7,2.1,8,3.1,6.6,2.4,7.2,3.6,6,2.4,9.2,2.4,7.1,3.1,11,3.7,7,2.3,0.000000000000000,0.000000000000000,
1062.00000,17031811500,Census Tract 8115,2820906.00000,0.00000,+41.9413772,-87.8686457,1400000US17031811500,17031811500,"Census Tract 8115, Cook County, Illinois",1865,147,170,90,1695,167,44.3,5.6,75.9,1400000US17031811500,17031811500,"Census Tract 8115, Cook County, Illinois",5732,503,2907,312,2825,337,3.5,1.8,3.7,2.6,3.3,2.7,6.2,2.5,7.3,4.5,5.1,2.9,8.5,2.4,8.3,3.7,8.7,3.7,7.3,3.6,0.000000000000000,0.000000000000000,
1063.00000,17031811600,Census Tract 8116,2931455.00000,0.00000,+41.9511884,-87.8722007,1400000US17031811600,17031811600,"Census Tract 8116, Cook County, Illinois",2322,155,61,46,2261,163,23,5.7,45.9,1400000US17031811600,17031811600,"Census Tract 8116, Cook County, Illinois",5825,334,2847,261,2978,251,6.6,2.4,6.4,3.4,6.9,3.2,5.4,3,6.5,4.1,4.4,3.2,5.8,1.8,3.3,2.3,8.2,3,6.7,3.6,0.000005604630516,0.000000002879424,0.000513758058283
345.00000,17031170100,Census Tract 1701,1014645.00000,0.00000,+41.9558596,-87.7948168,1400000US17031170100,17031170100,"Census Tract 1701, Cook County, Illinois",1055,61,0,119,1055,61,58.5,7,,1400000US17031170100,17031170100,"Census Tract 1701, Cook County, Illinois",2447,421,1353,347,1094,170,4.2,2.9,7.6,5.4,0,2.9,3.6,2.5,3.9,3.8,3.3,4.5,2.2,2.7,3.9,4.7,0,2.9,5.4,4.5,51359.000000000000000,19775.970253139734268,0.385053646938993
1434.00000,17031841700,Census Tract 8417,266794.00000,0.00000,+41.8531302,-87.7041819,1400000US17031841700,17031841700,"Census Tract 8417, Cook County, Illinois",584,101,181,63,403,110,61.8,11.4,68,1400000US17031841700,17031841700,"Census Tract 8417, Cook County, Illinois",1154,244,550,144,604,173,7.4,5.6,6.4,4.8,8.3,9.6,1.6,2.4,0,5.7,3,4.4,1.9,1.5,2.4,3.6,1.5,2.5,7.1,3.8,13499.000000000000000,888.828378232656291,0.065844016462898
597.00000,17031440102,Census Tract 4401.02,627506.00000,0.00000,+41.7409356,-87.6011636,1400000US17031440102,17031440102,"Census Tract 4401.02, Cook County, Illinois",1804,151,591,143,1213,177,23.8,6.9,11.7,1400000US17031440102,17031440102,"Census Tract 4401.02, Cook County, Illinois",3402,512,1618,371,1784,308,9.6,4.1,16.1,7.9,3.8,3.5,6.3,3,5,4.3,7.4,5.7,6.7,3.7,4.9,5.8,8.4,4.7,2.6,2.1,31741.000000000000000,2403.605532646257871,0.075725576782277
605.00000,17031450300,Census Tract 4503,1366774.00000,0.00000,+41.7419438,-87.5790892,1400000US17031450300,17031450300,"Census Tract 4503, Cook County, Illinois",1537,98,335,110,1202,125,38.4,7.7,14.9,1400000US17031450300,17031450300,"Census Tract 4503, Cook County, Illinois",3544,402,1577,296,1967,253,4.3,2.3,2.8,2.6,5.5,3.4,4.5,2.2,6,4,3.2,2.5,8.3,3,11.3,4.8,5.9,3.3,5.8,3.2,69133.000000000000000,25947.069817223586142,0.375321045191494
616.00000,17031480100,Census Tract 4801,659686.00000,0.00000,+41.7352411,-87.5757302,1400000US17031480100,17031480100,"Census Tract 4801, Cook County, Illinois",937,55,95,50,842,76,63,6.2,57.9,1400000US17031480100,17031480100,"Census Tract 4801, Cook County, Illinois",2151,197,1016,168,1135,116,3.8,2.1,3.4,3.1,4.1,3.7,4.2,2.3,4,3.9,4.4,3,3.1,2.8,3.9,3.2,2.3,3.6,3.8,2.6,33381.000000000000000,18551.820875380188227,0.555759889619250
