,GEOID,weight_max,weight_median,total_pop,pov_rate,pop_vulnerable,uninsured_rate,vulner_rate,max_composite,med_composite
145,17031120300,3165294.714138196,806514.588757074,6600,1.0315151515151515,1558,1.0675757575757576,0.23606060606060605,822833.538535865,209657.3345867621
146,17031120400,1398991.8448589884,443906.6774524207,3598,1.0944552800222904,630,1.0522512506948305,0.17509727626459143,282105.81917275034,89513.50026746685
147,17031130100,1236389.3848842154,288208.1829992307,5510,1.1118894358197653,2272,1.0554302893649004,0.41234119782214157,598278.165844689,139461.45543975022
148,17031130200,2795232.2045074105,717999.7631178972,1664,1.0528846153846154,355,1.0679086538461537,0.21334134615384615,670513.9351029405,172232.14793920855
149,17031130300,446189.148756746,103721.29722745481,5496,1.0967976710334788,1158,1.1874090247452693,0.21069868995633187,122435.59734676572,28461.424978643347
150,17031140100,210683.0290163505,9147.44589775243,3558,1.369308600337268,496,1.3229342327150084,0.13940415964024733,53204.072527287855,2310.0169826478623
151,17031140200,31244.07905717723,614.3365065019891,6138,1.2311120113429208,667,1.2140944091061265,0.1086673183447377,5074.773993326417,99.78271149045554
152,17031140302,202818.07584899946,47277.8477674445,4152,1.1490371933526773,876,1.2224269544617004,0.21098265895953758,60104.975396113754,14010.752567039905
153,17031140400,873543.5975286169,294677.90995021665,7056,1.1003401360544218,1219,1.1279761904761905,0.17276077097505668,187308.12032476522,63185.81644941576
154,17031140500,177109.24082347783,55377.48598192874,4366,1.1486486486486487,792,1.2369809589355356,0.18140174072377463,45649.17069739593,14273.316844609324
155,17031140601,128159.89650814555,23049.502884398808,2757,1.0945110868774992,380,1.2745738121146173,0.1378309756982227,24642.464224502666,4431.936711069894
156,17031140602,158604.56057780993,16473.57074529669,5360,1.248134328358209,852,1.293278257604206,0.15895522388059702,40695.25559728256,4226.840449211894
157,17031140701,91550.12470369949,2452.492035359439,2733,1.1485547017929016,322,1.2469813391877058,0.11781924624954263,15448.517836180266,413.8428765003019
158,17031140702,260827.1041111966,8062.888024427547,6090,1.2337468982630273,836,1.2868229854689563,0.13727422003284073,56844.25616957015,1757.2133612759922
159,17031140800,924356.1603125264,43864.42311564579,6586,1.1290372193171332,961,1.1995141208624354,0.14591557849984815,182664.69876844686,8668.175730404719
160,17031150200,1692982.0488583623,535872.3600775709,7767,1.1483105493938612,1084,1.1995622505471868,0.13956482554396807,325469.6337665691,103019.50980383105
161,17031150300,2394020.789956796,585720.2048432681,8095,1.127007659995058,1403,1.1323038912909202,0.17331686226065474,529491.0250590707,129545.07035248753
162,17031150401,1706277.5758922296,306589.7928459855,4999,1.0974194838967795,958,1.129625925185037,0.1916383276655331,405358.58295740536,72836.21711565103
163,17031150402,1246489.2216555136,293239.6529429275,3527,1.0858930602957906,512,1.2018712787071166,0.14516586333994896,236155.48844904662,55556.159066816464
164,17031150501,1286833.6388872783,136460.88826370848,4243,1.1041715767145888,826,1.1027574829130333,0.19467358001414095,305032.41815132665,32346.83448759547
165,17031150502,1224211.7090555548,223117.21395465487,4270,1.1907363420427552,870,1.1192037470725995,0.20374707259953162,332408.9212096802,60582.78306388145
166,17031150600,989914.5291902749,433494.3237881261,4064,1.107775590551181,842,1.0984251968503937,0.20718503937007873,249561.94907196047,109285.88798942856
167,17031150700,710904.7100107267,272161.8077872689,4357,1.1659398668808814,906,1.1409519429753967,0.2079412439752123,196650.716886897,75285.49727823962
168,17031150800,342308.6419799043,112681.63216999045,5020,1.0639442231075698,714,1.2396414342629483,0.14223107569721116,64213.64205618589,21137.93549768267
169,17031151001,0.0,0.0,2358,1.2523324851569126,374,1.1891433418150976,0.15860899067005937,0.0,0.0
170,17031151002,180971.8435328464,70119.39448382887,4438,1.1239296980621902,729,1.220820189274448,0.16426318161333933,40788.90913578258,15804.080648257768
171,17031151100,377686.1979228204,304806.96844152943,5486,1.1471339905074844,1016,1.2130878600072914,0.1851986875683558,97336.43233408386,78554.16221677484
172,17031151200,567993.849898361,372922.8754273315,3574,1.1045696663863191,652,1.128147733631785,0.18242865137101288,129120.66931712272,84775.6560875783
173,17031160100,625992.6927002819,224118.9897564422,2556,1.0761082777559827,430,1.217527386541471,0.16823161189358374,137978.551281599,49399.32028263355
174,17031160200,1086356.7783800995,325382.61070397665,3127,1.0375040413837697,568,1.0863239573229875,0.1816437480012792,222403.74065201034,66613.76004998
175,17031160300,561468.4866251098,141885.1388404449,3969,1.184033177812338,882,1.1889580093312597,0.2222222222222222,175648.0208860663,44386.8969036353
176,17031160400,863009.4902338051,191475.6856806146,4819,1.173713809622995,867,1.1676696410043577,0.17991284498858684,212794.27814587136,47212.60980091146
177,17031160501,365305.37036352133,17724.50359033879,4306,1.1619603267211203,782,1.278448676265676,0.18160705991639572,98551.53254322916,4781.689879504397
178,17031160502,442009.4508081414,38655.19918764178,4023,1.1195625155356699,517,1.2933134476758639,0.12851106139696744,82247.78453490522,7192.842795841063
179,17031160601,649279.1778072985,37473.763229596436,4263,1.0738916256157636,748,1.2310579404175463,0.17546328876378137,150610.99928765823,8692.6565951784
